Bully	der Mobber (-)
Victim	das Opfer (-)
Cyberbullying	das Cybermobbing (-)
Harassment	die Belästigung (-en)
Insult	die Beleidigung (-en)
Rumor	das Gerücht (-e)
Threat	die Drohung (-en)
Social media	die sozialen Medien (pl.)
Internet	das Internet (-)
Privacy	die Privatsphäre (-n)
Identity theft	der Identitätsdiebstahl (-e)
Message	die Nachricht (-en)
Comment	der Kommentar (-e)
Chat	der Chat (-s)
Forum	das Forum (die Foren)
Screenshot	der Screenshot (-s)
Abuse	der Missbrauch (-e)
Depression	die Depression (-en)
Anxiety	die Angst (Ängste)
Exclusion	die Ausgrenzung (-en)
